"id","compound_public_id","source_type","food_id","food_name","orig_food_common_name","orig_food_scientific_name","orig_source_id","orig_source_name","orig_content_avg","orig_unit","citation","preparation_type"
1179920,12174,"Compound",337,"Chinese water chestnut","","","","",NA,"","MANUAL",""
1179921,12174,"Compound",338,"Garland chrysanthemum","","","","",NA,"","MANUAL",""
1179922,12174,"Compound",341,"Coconut","","","","",NA,"","MANUAL",""
1179923,12174,"Compound",345,"Corn salad","","","","",NA,"","MANUAL",""
1179924,12174,"Compound",346,"Cottonseed","","","","",NA,"","MANUAL",""
1179925,12174,"Compound",347,"Catjang pea","","","","",NA,"","MANUAL",""
1179926,12174,"Compound",348,"Malus (Crab apple)","","","","",NA,"","MANUAL",""
1179927,12174,"Compound",349,"Squashberry","","","","",NA,"","MANUAL",""
1179928,12174,"Compound",354,"Devilfish","","","","",NA,"","MANUAL",""
1179929,12174,"Compound",355,"Dock","","","","",NA,"","MANUAL",""
1179930,12174,"Compound",360,"Durian","","","","",NA,"","MANUAL",""
1179931,12174,"Compound",363,"Elderberry","","","","",NA,"","MANUAL",""
1179932,12174,"Compound",366,"Oregon yampah","","","","",NA,"","MANUAL",""
1179933,12174,"Compound",368,"European chestnut","","","","",NA,"","MANUAL",""
1179934,12174,"Compound",370,"Fireweed","","","","",NA,"","MANUAL",""
1179935,12174,"Compound",372,"Ginkgo nuts","","","","",NA,"","MANUAL",""
1179936,12174,"Compound",374,"Grape","","","","",NA,"","MANUAL",""
1179937,12174,"Compound",376,"Groundcherry","","","","",NA,"","MANUAL",""
1179938,12174,"Compound",381,"Hazelnut","","","","",NA,"","MANUAL",""
1179939,12174,"Compound",382,"Hickory nut","","","","",NA,"","MANUAL",""
1179940,12174,"Compound",384,"Horseradish tree","","","","",NA,"","MANUAL",""
1179941,12174,"Compound",385,"Alaska blueberry","","","","",NA,"","MANUAL",""
1179942,12174,"Compound",386,"Hyacinth bean","","","","",NA,"","MANUAL",""
1179943,12174,"Compound",387,"Irish moss","","","","",NA,"","MANUAL",""
1179944,12174,"Compound",389,"Jackfruit","","","","",NA,"","MANUAL",""
1179945,12174,"Compound",390,"Japanese chestnut","","","","",NA,"","MANUAL",""
1179946,12174,"Compound",391,"Java plum","","","","",NA,"","MANUAL",""
1179947,12174,"Compound",392,"Jerusalem artichoke","","","","",NA,"","MANUAL",""
1179948,12174,"Compound",393,"Jujube","","","","",NA,"","MANUAL",""
1179949,12174,"Compound",394,"Jute","","","","",NA,"","MANUAL",""
1179950,12174,"Compound",395,"Kale","","","","",NA,"","MANUAL",""
1179951,12174,"Compound",396,"Kelp","","","","",NA,"","MANUAL",""
1179952,12174,"Compound",398,"Kumquat","","","","",NA,"","MANUAL",""
1179953,12174,"Compound",399,"Lambsquarters","","","","",NA,"","MANUAL",""
1179954,12174,"Compound",401,"Wild leek","","","","",NA,"","MANUAL",""
1179955,12174,"Compound",405,"Loganberry","","","","",NA,"","MANUAL",""
1179956,12174,"Compound",406,"Lotus","","","","",NA,"","MANUAL",""
1179957,12174,"Compound",407,"Sacred lotus","","","","",NA,"","MANUAL",""
1179958,12174,"Compound",408,"White lupine","","","","",NA,"","MANUAL",""
1179959,12174,"Compound",409,"Malabar spinach","","","","",NA,"","MANUAL",""
1179960,12174,"Compound",410,"Mammee apple","","","","",NA,"","MANUAL",""
1179961,12174,"Compound",411,"Purple mangosteen","","","","",NA,"","MANUAL",""
1179962,12174,"Compound",412,"Alpine sweetvetch","","","","",NA,"","MANUAL",""
1179963,12174,"Compound",416,"Moth bean","","","","",NA,"","MANUAL",""
1179964,12174,"Compound",417,"Mountain yam","","","","",NA,"","MANUAL",""
721545,12174,"Compound",420,"White mustard","","Brassica hirta","C00000619","Eugenol",NA,"","KNAPSACK","other"
1179965,12174,"Compound",421,"Mustard spinach","","","","",NA,"","MANUAL",""
1179966,12174,"Compound",422,"New Zealand spinach","","","","",NA,"","MANUAL",""
1179967,12174,"Compound",423,"Nopal","","","","",NA,"","MANUAL",""
1179968,12174,"Compound",426,"Ohelo berry","","","","",NA,"","MANUAL",""
1179969,12174,"Compound",427,"Okra","","","","",NA,"","MANUAL",""
1179970,12174,"Compound",436,"Pepper (C. frutescens)","","","","",NA,"","MANUAL",""
1179971,12174,"Compound",437,"Common persimmon","","","","",NA,"","MANUAL",""
1179972,12174,"Compound",440,"Pili nut","","","","",NA,"","MANUAL",""
1179973,12174,"Compound",441,"Colorado pinyon","","","","",NA,"","MANUAL",""
1179974,12174,"Compound",442,"Pitanga","","","","",NA,"","MANUAL",""
1179975,12174,"Compound",443,"Plains prickly pear","","","","",NA,"","MANUAL",""
1179976,12174,"Compound",444,"French plantain","","","","",NA,"","MANUAL",""
1179977,12174,"Compound",445,"American pokeweed","","","","",NA,"","MANUAL",""
1179978,12174,"Compound",447,"Opium poppy","","","","",NA,"","MANUAL",""
1179979,12174,"Compound",448,"Prairie turnip","","","","",NA,"","MANUAL",""
1179980,12174,"Compound",449,"Prickly pear","","","","",NA,"","MANUAL",""
1179981,12174,"Compound",450,"Quinoa","","","","",NA,"","MANUAL",""
1179982,12174,"Compound",455,"Malabar plum","","","","",NA,"","MANUAL",""
1179983,12174,"Compound",456,"Rose hip","","","","",NA,"","MANUAL",""
1179984,12174,"Compound",466,"Salmonberry","","","","",NA,"","MANUAL",""
1179985,12174,"Compound",467,"Common salsify","","","","",NA,"","MANUAL",""
1179986,12174,"Compound",468,"Sapodilla","","","","",NA,"","MANUAL",""
1179987,12174,"Compound",469,"Mamey sapote","","","","",NA,"","MANUAL",""
1179988,12174,"Compound",479,"Sesbania flower","","","","",NA,"","MANUAL",""
1179989,12174,"Compound",485,"Hedge mustard","","","","",NA,"","MANUAL",""
1179990,12174,"Compound",488,"Soursop","","","","",NA,"","MANUAL",""
1179991,12174,"Compound",489,"Spelt","","","","",NA,"","MANUAL",""
1179992,12174,"Compound",490,"Spirulina","","","","",NA,"","MANUAL",""
1179993,12174,"Compound",493,"Strawberry guava","","","","",NA,"","MANUAL",""
1179994,12174,"Compound",496,"Sugar apple","","","","",NA,"","MANUAL",""
1179995,12174,"Compound",499,"Taro","","","","",NA,"","MANUAL",""
1179996,12174,"Compound",500,"Teff","","","","",NA,"","MANUAL",""
1179997,12174,"Compound",502,"Mexican groundcherry","","","","",NA,"","MANUAL",""
